id;table_id;name;display_order;created_at
60ed8643-8c2d-4856-8472-f653529da0c6;d261255e-5591-4b6e-8f45-6c69f064f290;A;0;2025-12-26 14:46:14.318691+00
d2d8e438-8c32-4279-988b-98857f551e5e;d261255e-5591-4b6e-8f45-6c69f064f290;B;1;2025-12-26 14:46:14.318691+00
1aa7e56c-482b-4b44-8270-49f639c90fcc;d261255e-5591-4b6e-8f45-6c69f064f290;C;2;2025-12-26 14:46:14.318691+00
87fac733-7365-4326-9329-1f60ad0ff89f;d261255e-5591-4b6e-8f45-6c69f064f290;D;3;2025-12-26 14:46:14.318691+00
2d66e735-65da-4b54-a32e-3e56e50228c7;c195a946-7558-4676-85a5-fb353472d770;A;0;2025-12-26 14:51:13.33773+00
03eace91-d8f0-4b9a-b4b4-0a4230a6a763;c195a946-7558-4676-85a5-fb353472d770;B;1;2025-12-26 14:51:13.33773+00
ce93762d-ae45-459d-87ba-6946c421cc43;eadd4767-636e-4f33-8d6f-7632bd97dd2b;A;0;2025-12-27 01:57:25.594058+00
f35c6097-19e1-4018-9bb7-b38f8de606ad;eadd4767-636e-4f33-8d6f-7632bd97dd2b;B;1;2025-12-27 01:57:25.594058+00
cf6888c6-68cb-4e57-bde7-6320137926ac;eadd4767-636e-4f33-8d6f-7632bd97dd2b;C;2;2025-12-27 01:57:25.594058+00
b7f6a34e-0213-45b1-a1b0-5477644a9c5a;eadd4767-636e-4f33-8d6f-7632bd97dd2b;D;3;2025-12-27 01:57:25.594058+00
63c418c0-c13a-49ec-a419-fcd9286b2e86;9023a09e-e68c-4dc1-bfa3-2df68382a1e7;A;0;2025-12-28 11:05:17.469796+00
b5d93e17-095d-4c97-b69f-f85ab6475719;9023a09e-e68c-4dc1-bfa3-2df68382a1e7;B;1;2025-12-28 11:05:17.469796+00
6798f22e-ecf2-466e-af2a-7246a32d53f3;a753439a-886b-4952-8fc8-311692142c00;A;0;2025-12-28 13:38:38.914921+00
cddbf9f6-b6fe-4922-8a7a-04743cfa68e1;a753439a-886b-4952-8fc8-311692142c00;B;1;2025-12-28 13:38:38.914921+00
2a754fe2-bdf2-4976-9372-cb583047a3c6;a753439a-886b-4952-8fc8-311692142c00;C;2;2025-12-28 13:38:38.914921+00
1dd51a26-d062-4a98-828a-d635376cb5a7;a753439a-886b-4952-8fc8-311692142c00;D;3;2025-12-28 13:38:38.914921+00
94b7240d-1def-4cb8-9080-6bff79aabdfe;9e47105b-489f-40db-8189-c5150e707383;A;0;2025-12-30 00:47:06.914584+00
b6a0399d-241c-4bc9-991f-14276aa2d1e2;9e47105b-489f-40db-8189-c5150e707383;B;1;2025-12-30 00:47:06.914584+00
bd6057fc-763e-4836-ac35-59bd72c63624;9e47105b-489f-40db-8189-c5150e707383;C;2;2025-12-30 00:47:06.914584+00
da32d438-f1da-4055-8016-4d16e8608fb5;9e47105b-489f-40db-8189-c5150e707383;D;3;2025-12-30 00:47:06.914584+00
544d0012-875b-43b3-9176-275c2150085d;9e47105b-489f-40db-8189-c5150e707383;E;4;2025-12-30 00:47:06.914584+00
dadc4c65-3e3b-4f8f-82ff-ce14e3fb70aa;9e47105b-489f-40db-8189-c5150e707383;F;5;2025-12-30 00:47:06.914584+00
909fe391-efea-4b15-aef1-4388ebae5eef;b59c5e79-12e0-4e21-9548-ebd5df0f8162;A;0;2025-12-30 00:55:54.23841+00
